1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,1
17,1
18,1
19,1
20,1
21,2
22,1
23,1
24,2
25,2
26,2
27,2
28,2
29,2
30,1
31,2
32,1
33,1
34,1
35,1
36,1
37,1
38,0
39,0
40,1
41,0
42,0
43,0
44,0
45,1
46,0
47,1
48,1
49,1
50,2
51,2
52,3
53,4
54,4
55,4
56,5
57,5
58,5
59,6
60,6
61,6
62,6
63,6
64,6
65,6
66,6
67,6
68,6
69,6
70,5
71,5
72,4
73,4
74,3
75,2
76,2
77,2
78,1
79,1
80,1
81,1
82,1
83,2
84,3
85,4
86,6
87,7
88,8
89,12
90,13
91,16
92,18
93,20
94,23
95,25
96,27
97,29
98,35
99,38
100,39
101,44
102,48
103,50
104,52
105,55
106,58
107,60
108,59
109,55
110,54
111,60
112,110
113,153
114,199
115,288
116,324
117,351
118,389
119,398
120,398
121,359
122,330
123,290
124,248
125,149
126,101
127,45
128,40
129,40
130,40
131,41
132,40
133,39
134,36
135,33
136,29
137,27
138,24
139,22
140,20
141,19
142,18
143,14
144,13
145,10
146,9
147,7
148,6
149,5
150,4
151,3
152,2
153,2
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,2
162,3
163,4
164,3
165,4
166,6
167,5
168,5
169,5
170,6
171,6
172,6
173,6
174,6
175,6
176,6
177,5
178,5
179,5
180,5
181,4
182,3
183,3
184,3
185,3
186,2
187,2
188,2
189,1
190,1
191,0
192,0
193,0
194,1
195,0
196,0
197,1
198,0
199,1
200,1
201,1
202,0
203,1
204,1
205,1
206,1
207,1
208,2
209,2
210,2
211,2
212,2
213,2
214,2
215,2
216,2
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
